,waktu,user,text,STOP_REMOVAL,STEMMING,labeling
0,2022-08-14 15:42:16+00:00,wolipop,puluhan emak emak solo jawa tengah memeriahkan parade kebaya kawasan cfd slamet riyadi pada minggu ,puluhan emak emak solo jawa memeriahkan parade kebaya kawasan cfd slamet riyadi minggu ,puluh emak emak solo jawa riah parade kebaya kawasan cfd slamet riyadi minggu,not bully
1,2022-08-14 15:37:42+00:00,juyeont_,mayan udh balik modal lah apalagi semenjak ada citayam fashion week omset jadi naik,mayan udh modal semenjak citayam fashion week omset,mayan udh modal semenjak citayam fashion week omset,not bully
2,2022-08-14 15:21:03+00:00,tarunaadjie1,citayam fashion week lebih besar manfaatnya atau mudoratnya prof sepertinya perlu masukan dari para budayawan aga,citayam fashion week manfaatnya mudoratnya prof masukan budayawan aga,citayam fashion week manfaat mudoratnya prof masuk budayawan aga,not bully
3,2022-08-14 15:20:14+00:00,tarunaadjie1,citayam fashion week lebih besar manfaatnya atau mudoratnya prof sepertinya perlu masukan dari para ,citayam fashion week manfaatnya mudoratnya prof masukan ,citayam fashion week manfaat mudoratnya prof masuk,not bully
4,2022-08-14 15:18:26+00:00,mjaya2007, setelah citayam fashion show tamat sekarang anak medan takes sarinah, citayam fashion show tamat anak medan takes sarinah,citayam fashion show tamat anak medan takes sarinah,not bully
5,2022-08-14 15:07:57+00:00,agusagu00819551,gmn stop citayam fashion week pak drpd ajang tempat nongkrongnya para bencong dan lgbt lbh serem tempat ,gmn stop citayam fashion week drpd ajang nongkrongnya bencong lgbt lbh serem ,gmn stop citayam fashion week drpd ajang nongkrongnya bencong lgbt lbh rem,bully
6,2022-08-14 15:06:12+00:00,zubelsitorus5,wahhh teringatnya citayam fashion week dah ngak populer lagi,wahhh teringatnya citayam fashion week dah ngak populer,wahhh ingat citayam fashion week dah ngak populer,bully
7,2022-08-14 14:58:03+00:00,kaguyta,sudirman citayam bojong gede depok,sudirman citayam bojong gede depok,sudirman citayam bojong gede depok,not bully
8,2022-08-14 14:47:01+00:00,gray_floella,dekat dengan tempat wisata dekat dengan pasar modern dekat stasiun depok lama dan citayam dekat dengan masjid,wisata pasar modern stasiun depok citayam masjid,wisata pasar modern stasiun depok citayam masjid,not bully
9,2022-08-14 14:44:30+00:00,leavenderwitch, kakaowebtoon citayam fashion week depan zebra cross isekai fashion week depan truck nim kebanggaan gimana siap diguncang sama, kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim kebanggaan gimana diguncang,kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim bangga gimana guncang,not bully
10,2022-08-14 14:44:07+00:00,jsooyaaw,anak gawl scbd sudahkah ikut citayam fashion show,anak gawl scbd citayam fashion show,anak gawl scbd citayam fashion show,not bully
11,2022-08-14 14:39:05+00:00,adm61481192, tadi pagi dari rumah naik mrt turun stasiun mrt dukuh atas ternyata citayam fashion week sudah ditutup saya sampaikan , pagi rumah mrt turun stasiun mrt dukuh citayam fashion week ditutup ,pagi rumah mrt turun stasiun mrt dukuh citayam fashion week tutup,not bully
12,2022-08-14 14:38:40+00:00,commuterline,selamat malam kak kami informasikan rute citayam jakarta kota terakhir pkl wib tks,selamat malam kak informasikan rute citayam jakarta kota pkl wib tks,selamat malam kak informasi rute citayam jakarta kota pkl wib tks,not bully
13,2022-08-14 14:30:36+00:00,snowytales,citayam fashion week bgt bajunya,citayam fashion week bgt bajunya,citayam fashion week bgt baju,bully
14,2022-08-14 14:21:12+00:00,zulfiarrahman,muda2 ,muda2 ,muda2,bully
15,2022-08-14 14:18:38+00:00,jenstanacc, aku taunya haki terbagi menjadi jenis bushoshoku haki kenboshoku haki haoshoku haki , taunya haki terbagi jenis bushoshoku haki kenboshoku haki haoshoku haki ,tau hak bagi jenis bushoshoku hak kenboshoku hak haoshoku hak,not bully
16,2022-08-14 14:07:23+00:00,andofamido, setelah citayam fashion show tamat sekarang anak medan takes sarinah, citayam fashion show tamat anak medan takes sarinah,citayam fashion show tamat anak medan takes sarinah,not bully
17,2022-08-14 14:02:05+00:00,wolipop,menjelang perayaan hut puluhan bocah cilik unjuk gigi melakukan fashion show ala citayam fashion week ,menjelang perayaan hut puluhan bocah cilik unjuk gigi fashion show ala citayam fashion week ,jelang raya hut puluh bocah cilik unjuk gigi fashion show ala citayam fashion week,not bully
18,2022-08-14 13:44:40+00:00,kauanreff,citayam jangan dimaju majuin stasiunnya,citayam dimaju majuin stasiunnya,citayam maju majuin stasiun,bully
19,2022-08-14 13:43:18+00:00,jialifen2, kakaowebtoon citayam fashion week depan zebra cross isekai fashion week depan truck nim kebanggaan gimana siap diguncang sama, kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim kebanggaan gimana diguncang,kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim bangga gimana guncang,not bully
20,2022-08-14 13:40:16+00:00,rahmaaaaw,kereta terakhir dari stasiun citayam jakarta kota jam berapa min,kereta stasiun citayam jakarta kota jam min,kereta stasiun citayam jakarta kota jam min,not bully
21,2022-08-14 13:31:10+00:00,osirisgebnut, tadi pagi dari rumah naik mrt turun stasiun mrt dukuh atas ternyata citayam fashion week sudah ditutup saya sampaikan , pagi rumah mrt turun stasiun mrt dukuh citayam fashion week ditutup ,pagi rumah mrt turun stasiun mrt dukuh citayam fashion week tutup,not bully
22,2022-08-14 13:30:25+00:00,sinarlampung1,layaknya citayam fashion week pemkab lambar gelar liwa fashion street,layaknya citayam fashion week pemkab lambar gelar liwa fashion street,layak citayam fashion week pemkab lambar gelar liwa fashion street,not bully
23,2022-08-14 13:20:06+00:00,masihadanh, setelah citayam fashion show tamat sekarang anak medan takes sarinah, citayam fashion show tamat anak medan takes sarinah,citayam fashion show tamat anak medan takes sarinah,not bully
24,2022-08-14 13:19:01+00:00,zxyouxizi, kakaowebtoon citayam fashion week depan zebra cross isekai fashion week depan truck nim kebanggaan gimana siap diguncang sama, kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim kebanggaan gimana diguncang,kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim bangga gimana guncang,not bully
25,2022-08-14 13:14:59+00:00,arifagustiantob,yen golek pemain ming menang ganteng tok karo isoh dandan citayam ,yen golek pemain ming menang ganteng tok karo isoh dandan citayam ,yen golek main ming menang ganteng tok karo isoh dandan citayam,bully
26,2022-08-14 13:12:12+00:00,pautsman_,karna umat citayam sudah menjadi rujukan outfit anak muda,karna umat citayam rujukan outfit anak muda,karna umat citayam rujuk outfit anak muda,bully
27,2022-08-14 13:12:03+00:00,kwnjkyg, kakaowebtoon citayam fashion week depan zebra cross isekai fashion week depan truck nim kebanggaan gimana siap diguncang sama, kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim kebanggaan gimana diguncang,kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim bangga gimana guncang,not bully
28,2022-08-14 13:09:37+00:00,pautsman_,justru eksperimen affh umat minang ini dgn umat citayam,eksperimen affh umat minang dgn umat citayam,eksperimen affh umat mang dgn umat citayam,bully
29,2022-08-14 13:09:29+00:00,raymondneno1,bukan citayam tapi cimanuk,citayam cimanuk,citayam cimanuk,bully
30,2022-08-14 13:04:04+00:00,jokoselong, kroya fashion week merupakan aksi peragaan busana anak anak muda yang digelar area depan sebuah kafe acara terinspirasi, kroya fashion week aksi peragaan busana anak anak muda digelar area kafe acara terinspirasi,kroya fashion week aksi aga busana anak anak muda gelar area kafe acara inspirasi,not bully
31,2022-08-14 13:02:09+00:00,lapocuq,knpa citayam cari sefenkuensi jmt,knpa citayam cari sefenkuensi jmt,knpa citayam cari sefenkuensi jmt,bully
32,2022-08-14 13:01:00+00:00,musniumar,tadi pagi dari rumah naik mrt turun stasiun mrt dukuh atas ternyata citayam fashion week sudah ditutup saya ,pagi rumah mrt turun stasiun mrt dukuh citayam fashion week ditutup ,pagi rumah mrt turun stasiun mrt dukuh citayam fashion week tutup,not bully
33,2022-08-14 12:53:26+00:00,kcimwinter, winter lainnya bisa soft gitu kenapa aku kek jamet citayam, winter soft gitu kek jamet citayam,winter soft gitu kek jamet citayam,bully
34,2022-08-14 12:51:21+00:00,bbykyuala,citayam mah selera waiji,citayam mah selera waiji,citayam mah selera waiji,bully
35,2022-08-14 12:45:09+00:00,99dotco_id,property people selain rumah citayam bojong gede menjadi lokasi favorit bagi pencari hunian pinggir jakarta,property people rumah citayam bojong gede lokasi favorit pencari hunian pinggir jakarta,property people rumah citayam bojong gede lokasi favorit cari huni pinggir jakarta,not bully
36,2022-08-14 12:39:52+00:00,fahril47130118, marlena citayam fashion week kriteria cowok bunda cari kuat tahan lama hobi jilmek, marlena citayam fashion week kriteria cowok bunda cari kuat tahan hobi jilmek,marlena citayam fashion week kriteria cowok bunda cari kuat tahan hobi jilmek,bully
37,2022-08-14 12:37:02+00:00,pentolmo0ndae, kakaowebtoon citayam fashion week depan zebra cross isekai fashion week depan truck nim kebanggaan gimana siap diguncang sama, kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim kebanggaan gimana diguncang,kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim bangga gimana guncang,not bully
38,2022-08-14 12:34:28+00:00,onur_rxm, kakaowebtoon citayam fashion week depan zebra cross isekai fashion week depan truck nim kebanggaan gimana siap diguncang sama, kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim kebanggaan gimana diguncang,kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim bangga gimana guncang,not bully
39,2022-08-14 12:16:15+00:00,oljkotk, kakaowebtoon citayam fashion week depan zebra cross isekai fashion week depan truck nim kebanggaan gimana siap diguncang sama, kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim kebanggaan gimana diguncang,kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim bangga gimana guncang,not bully
40,2022-08-14 12:11:38+00:00,lulukswa, citayam fashion week dari perspektif kepemudaan dan ketersediaan ruang publik, citayam fashion week perspektif kepemudaan ketersediaan ruang publik,citayam fashion week perspektif pemuda sedia ruang publik,not bully
41,2022-08-14 12:11:27+00:00,urslayy,chloe citayam,chloe citayam,chloe citayam,not bully
42,2022-08-14 12:10:25+00:00,embeerq, setelah citayam fashion show tamat sekarang anak medan takes sarinah, citayam fashion show tamat anak medan takes sarinah,citayam fashion show tamat anak medan takes sarinah,not bully
43,2022-08-14 12:08:37+00:00,firmaanium,bocil citayam,bocil citayam,bocil citayam,bully
44,2022-08-14 12:05:34+00:00,everyminwon,bonge jeopardize bakalan ketemu bonge citayam gak yha nanti pas svt indo,bonge jeopardize ketemu bonge citayam gak yha pas svt indo,bonge jeopardize ketemu bonge citayam gak yha pas svt indo,not bully
45,2022-08-14 12:04:09+00:00,didienazhar, citayam fashion week dari perspektif kepemudaan dan ketersediaan ruang publik, citayam fashion week perspektif kepemudaan ketersediaan ruang publik,citayam fashion week perspektif pemuda sedia ruang publik,not bully
46,2022-08-14 12:03:05+00:00,manasay60499337, kakaowebtoon citayam fashion week depan zebra cross isekai fashion week depan truck nim kebanggaan gimana siap diguncang sama, kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim kebanggaan gimana diguncang,kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim bangga gimana guncang,not bully
47,2022-08-14 12:02:22+00:00,koma_id,citayam fashion week dalam lingkup kepemudaan dan ketersediaan ruang publik,citayam fashion week lingkup kepemudaan ketersediaan ruang publik,citayam fashion week lingkup pemuda sedia ruang publik,not bully
48,2022-08-14 12:00:57+00:00,triomacan2000ba,citayam fashion week dari perspektif kepemudaan dan ketersediaan ruang publik,citayam fashion week perspektif kepemudaan ketersediaan ruang publik,citayam fashion week perspektif pemuda sedia ruang publik,not bully
49,2022-08-14 12:00:54+00:00,smaliska2001,citayam fashion week dari perspektif kepemudaan dan ketersediaan ruang publik,citayam fashion week perspektif kepemudaan ketersediaan ruang publik,citayam fashion week perspektif pemuda sedia ruang publik,not bully
50,2022-08-14 12:00:45+00:00,tribunrakyat,citayam fashion week dari perspektif kepemudaan dan ketersediaan ruang publik,citayam fashion week perspektif kepemudaan ketersediaan ruang publik,citayam fashion week perspektif pemuda sedia ruang publik,not bully
51,2022-08-14 12:00:05+00:00,beritaa1,diskusi milenial citayam fashion week dalam lingkup kepemudaan amp ketersediaan ruang publik,diskusi milenial citayam fashion week lingkup kepemudaan amp ketersediaan ruang publik,diskusi milenial citayam fashion week lingkup pemuda amp sedia ruang publik,not bully
52,2022-08-14 11:59:55+00:00,gendiskhansa,bicara citayam fashion week dari segi lingkup kepemudaan amp ketersediaan ruang publik,bicara citayam fashion week segi lingkup kepemudaan amp ketersediaan ruang publik,bicara citayam fashion week segi lingkup pemuda amp sedia ruang publik,not bully
53,2022-08-14 11:59:53+00:00,gandesalbasori,bicara citayam fashion week dari segi lingkup kepemudaan amp ketersediaan ruang publik,bicara citayam fashion week segi lingkup kepemudaan amp ketersediaan ruang publik,bicara citayam fashion week segi lingkup pemuda amp sedia ruang publik,not bully
54,2022-08-14 11:59:49+00:00,beritaa1,bicara citayam fashion week dari segi lingkup kepemudaan amp ketersediaan ruang publik,bicara citayam fashion week segi lingkup kepemudaan amp ketersediaan ruang publik,bicara citayam fashion week segi lingkup pemuda amp sedia ruang publik,not bully
55,2022-08-14 11:54:35+00:00,citayam_fw,layanan keuangan digital astra financial mudahkan transaksi pengunjung giias 2022 citayamfashionweek cfw,layanan keuangan digital astra financial mudahkan transaksi pengunjung giias 2022 citayamfashionweek cfw,layan uang digital astra financial mudah transaksi unjung giias 2022 citayamfashionweek cfw,not bully
56,2022-08-14 11:54:35+00:00,citayam_fw,klamby buka gerai modest fashion terbesar indonesia hypeabis citayamfashionweek cfw,klamby buka gerai modest fashion terbesar indonesia hypeabis citayamfashionweek cfw,klamby buka gerai modest fashion besar indonesia hypeabis citayamfashionweek cfw,not bully
57,2022-08-14 11:54:34+00:00,citayam_fw,flu burung merebak sebabkan harga produk dari unggas naik times indonesia citayamfashionweek cfw,flu burung merebak sebabkan harga produk unggas times indonesia citayamfashionweek cfw,flu burung rebak sebab harga produk unggas times indonesia citayamfashionweek cfw,not bully
58,2022-08-14 11:52:38+00:00,julian_viv, setelah citayam fashion show tamat sekarang anak medan takes sarinah, citayam fashion show tamat anak medan takes sarinah,citayam fashion show tamat anak medan takes sarinah,not bully
59,2022-08-14 11:52:20+00:00,callmeyou181, bocah citayam circa 1901 dari arsip jansen simpanan tropenmuseum, bocah citayam circa 1901 arsip jansen simpanan tropenmuseum,bocah citayam circa 1901 arsip jansen simpan tropenmuseum,not bully
60,2022-08-14 11:48:56+00:00,jungleblade,depan stasiun citayam dik,stasiun citayam dik,stasiun citayam dik,not bully
61,2022-08-14 11:42:57+00:00,raeli_wynknight, kakaowebtoon citayam fashion week depan zebra cross isekai fashion week depan truck nim kebanggaan gimana siap diguncang sama, kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim kebanggaan gimana diguncang,kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim bangga gimana guncang,not bully
62,2022-08-14 11:42:15+00:00,bluenightsky10, kakaowebtoon citayam fashion week depan zebra cross isekai fashion week depan truck nim kebanggaan gimana siap diguncang sama, kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim kebanggaan gimana diguncang,kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim bangga gimana guncang,not bully
63,2022-08-14 11:40:30+00:00,crimsonsnowmoon, kakaowebtoon citayam fashion week depan zebra cross isekai fashion week depan truck nim kebanggaan gimana siap diguncang sama, kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim kebanggaan gimana diguncang,kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim bangga gimana guncang,not bully
64,2022-08-14 11:39:47+00:00,shootingalt_air,ikutan citayam fashion week jajannya balakang ,ikutan citayam fashion week jajannya balakang ,ikut citayam fashion week jajan balakang,not bully
65,2022-08-14 11:39:20+00:00,nonuno8,scbd mau lihat jejak keviralan citayam fashion week eisa kepo soalnya,scbd lihat jejak keviralan citayam fashion week eisa kepo,scbd lihat jejak keviralan citayam fashion week eisa kepo,not bully
66,2022-08-14 11:36:33+00:00,khawpadkraphera, kakaowebtoon citayam fashion week depan zebra cross isekai fashion week depan truck nim kebanggaan gimana siap diguncang sama, kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim kebanggaan gimana diguncang,kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim bangga gimana guncang,not bully
67,2022-08-14 11:33:54+00:00,sugiyan42759, setelah citayam fashion show tamat sekarang anak medan takes sarinah, citayam fashion show tamat anak medan takes sarinah,citayam fashion show tamat anak medan takes sarinah,not bully
68,2022-08-14 11:32:27+00:00,irishbellve, kakaowebtoon citayam fashion week depan zebra cross isekai fashion week depan truck nim kebanggaan gimana siap diguncang sama, kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim kebanggaan gimana diguncang,kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim bangga gimana guncang,not bully
69,2022-08-14 11:30:57+00:00,mycrossman, kakaowebtoon citayam fashion week depan zebra cross isekai fashion week depan truck nim kebanggaan gimana siap diguncang sama, kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim kebanggaan gimana diguncang,kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim bangga gimana guncang,not bully
70,2022-08-14 11:29:23+00:00,songmingki,mau citayam fashion week hari ini,citayam fashion week,citayam fashion week,not bully
71,2022-08-14 11:28:17+00:00,kompascom,kroya fashion week merupakan aksi peragaan busana anak anak muda yang digelar area depan sebuah kafe acara teri,kroya fashion week aksi peragaan busana anak anak muda digelar area kafe acara teri,kroya fashion week aksi aga busana anak anak muda gelar area kafe acara teri,bully
72,2022-08-14 11:18:18+00:00,loveshurisomuch, kakaowebtoon citayam fashion week depan zebra cross isekai fashion week depan truck nim kebanggaan gimana siap diguncang sama, kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim kebanggaan gimana diguncang,kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim bangga gimana guncang,not bully
73,2022-08-14 11:15:54+00:00,scorpisarius, kakaowebtoon citayam fashion week depan zebra cross isekai fashion week depan truck nim kebanggaan gimana siap diguncang sama, kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim kebanggaan gimana diguncang,kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim bangga gimana guncang,not bully
74,2022-08-14 11:15:43+00:00,anakrecht,ini tren citayam fashion week dah abis sekelarnya masalah baim wong,tren citayam fashion week dah abis sekelarnya baim,tren citayam fashion week dah abis kelar baim,not bully
75,2022-08-14 11:15:42+00:00,iahptan169, kakaowebtoon citayam fashion week depan zebra cross isekai fashion week depan truck nim kebanggaan gimana siap diguncang sama, kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim kebanggaan gimana diguncang,kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim bangga gimana guncang,not bully
76,2022-08-14 11:13:38+00:00,dynimait, kakaowebtoon citayam fashion week depan zebra cross isekai fashion week depan truck nim kebanggaan gimana siap diguncang sama, kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim kebanggaan gimana diguncang,kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim bangga gimana guncang,not bully
77,2022-08-14 11:09:33+00:00,joehar_s, dan lihat mrk skrg manfaatkan area citayam fashion week utk citra diri tahu kemana anak2 itu pindah berkeliaran, lihat mrk skrg manfaatkan area citayam fashion week utk citra kemana anak2 pindah berkeliaran,lihat mrk skrg manfaat area citayam fashion week utk citra mana anak2 pindah liar,bully
